,AAPL,AMZN,META,MSFT,NVDA
2024-08-02,217.97181701660156,167.89999389648438,485.3344421386719,402.1695861816406,107.21829986572266
2024-08-05,207.47279357910156,161.02000427246094,472.99578857421875,389.0360107421875,100.4015884399414
2024-08-06,205.4502716064453,161.92999267578125,491.250244140625,393.427001953125,104.19976806640625
2024-08-07,208.01803588867188,162.77000427246094,486.1099853515625,392.2652587890625,98.86235046386719
2024-08-08,211.47808837890625,165.8000030517578,506.700927734375,396.4593505859375,104.91941833496094
2024-08-09,214.38291931152344,166.94000244140625,514.7941284179688,399.73779296875,104.69951629638672
2024-08-12,215.91146850585938,166.8000030517578,512.984619140625,400.51556396484375,108.96746826171875
2024-08-13,219.62364196777344,170.22999572753906,525.502197265625,407.6041564941406,116.08402252197266
2024-08-14,220.07028198242188,170.10000610351562,523.7324829101562,410.41009521484375,118.02310943603516
2024-08-15,223.0479736328125,177.58999633789062,534.24169921875,415.2626953125,122.80079650878906
2024-08-16,224.36807250976562,177.05999755859375,524.388671875,412.73779296875,124.51995849609375
2024-08-19,224.20925903320312,178.22000122070312,526.238037109375,415.755859375,129.93734741210938
2024-08-20,224.82464599609375,178.8800048828125,523.7026977539062,418.98101806640625,127.18868255615234
2024-08-21,224.71546936035156,180.11000061035156,532.084228515625,418.3301086425781,128.43804931640625
2024-08-22,222.859375,176.1300048828125,528.872802734375,409.85772705078125,123.68035888671875
2024-08-23,225.15220642089844,177.0399932861328,524.9653930664062,411.080810546875,129.30763244628906
2024-08-26,225.48963928222656,175.5,518.1248779296875,407.8259582519531,126.39906311035156
2024-08-27,226.3333282470703,173.1199951171875,516.1165161132812,408.1711730957031,128.23817443847656
2024-08-28,224.8048095703125,170.8000030517578,513.8099365234375,404.9755859375,125.54946899414062
2024-08-29,228.0802459716797,172.1199951171875,515.2415161132812,407.4610290527344,117.53331756591797
2024-08-30,227.29611206054688,178.5,518.3137817382812,411.4259948730469,119.31246948242188
2024-09-03,221.11248779296875,176.25,508.81866455078125,403.8314514160156,107.94795227050781
